percentRemaining,heart_rate(bpm),remainingMinutes,lookup
0.0025974025974026,60,1,2017/06/30
0.00519480519480519,51,2,2017/06/30
0.00779220779220779,49,3,2017/06/30
0.0103896103896104,85,4,2017/06/30
0.012987012987013,91,5,2017/06/30
0.0155844155844156,93,6,2017/06/30
0.0181818181818182,69,7,2017/06/30
0.0207792207792208,54,8,2017/06/30
0.0233766233766234,52,9,2017/06/30
0.025974025974026,68,10,2017/06/30
0.0285714285714286,67,11,2017/06/30
0.0311688311688312,56,12,2017/06/30
0.0337662337662338,59,13,2017/06/30
0.0363636363636364,80,14,2017/06/30
0.038961038961039,79,15,2017/06/30
0.0415584415584416,80,16,2017/06/30
0.0441558441558442,87,17,2017/06/30
0.0467532467532468,77,18,2017/06/30
0.0493506493506494,79,19,2017/06/30
0.051948051948052,80,20,2017/06/30
0.0545454545454546,72,21,2017/06/30
0.0571428571428571,80,22,2017/06/30
0.0597402597402597,68,23,2017/06/30
0.0623376623376623,54,24,2017/06/30
0.0649350649350649,60,25,2017/06/30
0.0675324675324675,90,26,2017/06/30
0.0701298701298701,103,27,2017/06/30
0.0727272727272727,103,28,2017/06/30
0.0753246753246753,89,29,2017/06/30
0.0779220779220779,94,30,2017/06/30
0.0805194805194805,61,31,2017/06/30
0.0831168831168831,63,32,2017/06/30
0.0857142857142857,66,33,2017/06/30
0.0883116883116883,69,34,2017/06/30
0.0909090909090909,71,35,2017/06/30
0.0935064935064935,67,36,2017/06/30
0.0961038961038961,74,37,2017/06/30
0.0987012987012987,76,38,2017/06/30
0.101298701298701,77,39,2017/06/30
0.103896103896104,77,40,2017/06/30
0.106493506493507,63,41,2017/06/30
0.109090909090909,80,42,2017/06/30
0.111688311688312,81,43,2017/06/30
0.114285714285715,73,44,2017/06/30
0.116883116883117,85,45,2017/06/30
0.11948051948052,86,46,2017/06/30
0.122077922077922,85,47,2017/06/30
0.124675324675325,81,48,2017/06/30
0.127272727272728,67,49,2017/06/30
0.12987012987013,77,50,2017/06/30
0.132467532467533,73,51,2017/06/30
0.135064935064935,80,52,2017/06/30
0.137662337662338,80,53,2017/06/30
0.140259740259741,71,54,2017/06/30
0.142857142857143,70,55,2017/06/30
0.145454545454546,66,56,2017/06/30
0.148051948051948,61,57,2017/06/30
0.150649350649351,63,58,2017/06/30
0.153246753246754,64,59,2017/06/30
0.155844155844156,79,60,2017/06/30
0.158441558441559,78,61,2017/06/30
0.161038961038961,69,62,2017/06/30
0.163636363636364,78,63,2017/06/30
0.166233766233767,81,64,2017/06/30
0.168831168831169,75,65,2017/06/30
0.171428571428572,64,66,2017/06/30
0.174025974025974,64,67,2017/06/30
0.176623376623377,64,68,2017/06/30
0.17922077922078,60,69,2017/06/30
0.181818181818182,72,70,2017/06/30
0.184415584415585,74,71,2017/06/30
0.187012987012987,79,72,2017/06/30
0.18961038961039,77,73,2017/06/30
0.192207792207793,75,74,2017/06/30
0.194805194805195,76,75,2017/06/30
0.197402597402598,75,76,2017/06/30
0.2,57,77,2017/06/30
0.202597402597403,78,78,2017/06/30
0.205194805194806,88,79,2017/06/30
0.207792207792208,74,80,2017/06/30
0.210389610389611,68,81,2017/06/30
0.212987012987013,75,82,2017/06/30
0.215584415584416,73,83,2017/06/30
0.218181818181819,60,84,2017/06/30
0.220779220779221,58,85,2017/06/30
0.223376623376624,85,86,2017/06/30
0.225974025974026,81,87,2017/06/30
0.228571428571429,76,88,2017/06/30
0.231168831168832,69,89,2017/06/30
0.233766233766234,83,90,2017/06/30
0.236363636363637,64,91,2017/06/30
0.238961038961039,74,92,2017/06/30
0.241558441558442,72,93,2017/06/30
0.244155844155845,68,94,2017/06/30
0.246753246753247,68,95,2017/06/30
0.24935064935065,64,96,2017/06/30
0.251948051948052,64,97,2017/06/30
0.254545454545455,54,98,2017/06/30
0.257142857142858,70,99,2017/06/30
0.25974025974026,72,100,2017/06/30
0.262337662337663,70,101,2017/06/30
0.264935064935065,64,102,2017/06/30
0.267532467532468,64,103,2017/06/30
0.270129870129871,64,104,2017/06/30
0.272727272727273,57,105,2017/06/30
0.275324675324676,67,106,2017/06/30
0.277922077922078,58,107,2017/06/30
0.280519480519481,67,108,2017/06/30
0.283116883116884,62,109,2017/06/30
0.285714285714286,59,110,2017/06/30
0.288311688311689,57,111,2017/06/30
0.290909090909091,57,112,2017/06/30
0.293506493506494,59,113,2017/06/30
0.296103896103896,60,114,2017/06/30
0.298701298701299,58,115,2017/06/30
0.301298701298702,70,116,2017/06/30
0.303896103896104,75,117,2017/06/30
0.306493506493507,60,118,2017/06/30
0.309090909090909,61,119,2017/06/30
0.311688311688312,61,120,2017/06/30
0.314285714285715,69,121,2017/06/30
0.316883116883117,65,122,2017/06/30
0.31948051948052,63,123,2017/06/30
0.322077922077922,60,124,2017/06/30
0.324675324675325,53,125,2017/06/30
0.327272727272728,64,126,2017/06/30
0.32987012987013,63,127,2017/06/30
0.332467532467533,68,128,2017/06/30
0.335064935064935,57,129,2017/06/30
0.337662337662338,69,130,2017/06/30
0.340259740259741,71,131,2017/06/30
0.342857142857143,65,132,2017/06/30
0.345454545454546,65,133,2017/06/30
0.348051948051948,66,134,2017/06/30
0.350649350649351,65,135,2017/06/30
0.353246753246754,65,136,2017/06/30
0.355844155844156,64,137,2017/06/30
0.358441558441559,66,138,2017/06/30
0.361038961038961,64,139,2017/06/30
0.363636363636364,61,140,2017/06/30
0.366233766233767,67,141,2017/06/30
0.368831168831169,68,142,2017/06/30
0.371428571428572,66,143,2017/06/30
0.374025974025974,65,144,2017/06/30
0.376623376623377,66,145,2017/06/30
0.37922077922078,62,146,2017/06/30
0.381818181818182,59,147,2017/06/30
0.384415584415585,68,148,2017/06/30
0.387012987012987,70,149,2017/06/30
0.38961038961039,68,150,2017/06/30
0.392207792207793,64,151,2017/06/30
0.394805194805195,81,152,2017/06/30
0.397402597402598,82,153,2017/06/30
0.4,81,154,2017/06/30
0.402597402597403,76,155,2017/06/30
0.405194805194806,68,156,2017/06/30
0.407792207792208,63,157,2017/06/30
0.410389610389611,61,158,2017/06/30
0.412987012987013,61,159,2017/06/30
0.415584415584416,59,160,2017/06/30
0.418181818181819,65,161,2017/06/30
0.420779220779221,61,162,2017/06/30
0.423376623376624,66,163,2017/06/30
0.425974025974026,69,164,2017/06/30
0.428571428571429,66,165,2017/06/30
0.431168831168832,68,166,2017/06/30
0.433766233766234,62,167,2017/06/30
0.436363636363637,56,168,2017/06/30
0.438961038961039,59,169,2017/06/30
0.441558441558442,59,170,2017/06/30
0.444155844155845,57,171,2017/06/30
0.446753246753247,58,172,2017/06/30
0.44935064935065,70,173,2017/06/30
0.451948051948052,68,174,2017/06/30
0.454545454545455,64,175,2017/06/30
0.457142857142858,66,176,2017/06/30
0.45974025974026,67,177,2017/06/30
0.462337662337663,71,178,2017/06/30
0.464935064935065,71,179,2017/06/30
0.467532467532468,65,180,2017/06/30
0.470129870129871,66,181,2017/06/30
0.472727272727273,88,182,2017/06/30
0.475324675324676,68,183,2017/06/30
0.477922077922078,62,184,2017/06/30
0.480519480519481,67,185,2017/06/30
0.483116883116884,66,186,2017/06/30
0.485714285714286,66,187,2017/06/30
0.488311688311689,70,188,2017/06/30
0.490909090909091,68,189,2017/06/30
0.493506493506494,65,190,2017/06/30
0.496103896103897,71,191,2017/06/30
0.498701298701299,79,192,2017/06/30
0.501298701298702,68,193,2017/06/30
0.503896103896104,66,194,2017/06/30
0.506493506493507,66,195,2017/06/30
0.509090909090909,67,196,2017/06/30
0.511688311688312,87,197,2017/06/30
0.514285714285715,80,198,2017/06/30
0.516883116883117,73,199,2017/06/30
0.51948051948052,76,200,2017/06/30
0.522077922077922,74,201,2017/06/30
0.524675324675325,71,202,2017/06/30
0.527272727272728,70,203,2017/06/30
0.52987012987013,68,204,2017/06/30
0.532467532467533,64,205,2017/06/30
